iter,region,occupy,predict
4,17,0, {0 1 2 3 4}
4,18,0, {0 1 2 3 4}
4,19,0, {0 1 2 3 4}
4,20,0, {0 1 2 3 4}
4,21,0, {0 1 2 3 4}
4,22,1, {4}
4,23,0, {0 1 2 3 4}
4,24,0, {0 1 2 3 4}
4,25,0, {0 1 2 3 4}
4,26,1, {1}
4,27,0, {0 1 2 3 4}
4,28,0, {0 1 2 3 4}
4,29,0, {0 1 2 3 4}
4,30,0, {0 1 2 3 4}
4,31,0, {0 1 2 3 4}
4,32,0, {0 1 2 3 4}
4,33,0, {0 1 2 3 4}
4,34,0, {0 1 2 3 4}
4,35,0, {0 1 2 3 4}
4,36,0, {0 1 2 3 4}
4,37,0, {0 1 2 3 4}
4,38,1, {1}
4,39,0, {0 1 2 3 4}
4,40,0, {0 1 2 3 4}
4,41,0, {0 1 2 3 4}
4,42,0, {0 1 2 3 4}
4,43,0, {0 1 2 3 4}
4,44,0, {0 1 2 3 4}
4,45,0, {0 1 2 3 4}
4,46,0, {0 1 2 3 4}
4,47,0, {0 1 2 3 4}
5,0,0, {0 1 2 3 4}
5,1,0, {0 1 2 3 4}
5,2,1, {0}
5,3,0, {0 1 2 3 4}
5,4,0, {0 1 2 3 4}
5,5,0, {0 1 2 3 4}
5,6,0, {0 1 2 3 4}
5,7,0, {0 1 2 3 4}
5,8,0, {0 1 2 3 4}
5,9,0, {0 1 2 3 4}
5,10,1, {2}
5,11,0, {0 1 2 3 4}
5,12,0, {0 1 2 3 4}
5,13,0, {0 1 2 3 4}
5,14,1, {2}
5,15,0, {0 1 2 3 4}
5,16,0, {0 1 2 3 4}
5,17,0, {0 1 2 3 4}
5,18,0, {0 1 2 3 4}
5,19,0, {0 1 2 3 4}
5,20,0, {0 1 2 3 4}
5,21,0, {0 1 2 3 4}
5,22,1, {4}
5,23,0, {0 1 2 3 4}
5,24,0, {0 1 2 3 4}
5,25,0, {0 1 2 3 4}
5,26,1, {1}
5,27,0, {0 1 2 3 4}
5,28,0, {0 1 2 3 4}
5,29,0, {0 1 2 3 4}
5,30,0, {0 1 2 3 4}
5,31,0, {0 1 2 3 4}
5,32,0, {0 1 2 3 4}
5,33,0, {0 1 2 3 4}
5,34,0, {0 1 2 3 4}
5,35,0, {0 1 2 3 4}
5,36,0, {0 1 2 3 4}
5,37,0, {0 1 2 3 4}
5,38,1, {1}
5,39,0, {0 1 2 3 4}
5,40,0, {0 1 2 3 4}
5,41,0, {0 1 2 3 4}
5,42,0, {0 1 2 3 4}
5,43,0, {0 1 2 3 4}
5,44,0, {0 1 2 3 4}
5,45,0, {0 1 2 3 4}
5,46,0, {0 1 2 3 4}
5,47,0, {0 1 2 3 4}
6,0,0, {0 1 2 3 4}
6,1,0, {0 1 2 3 4}
6,2,1, {0}
6,3,0, {0 1 2 3 4}
6,4,0, {0 1 2 3 4}
6,5,0, {0 1 2 3 4}
6,6,1, {2}
6,7,0, {0 1 2 3 4}
6,8,0, {0 1 2 3 4}
6,9,0, {0 1 2 3 4}
6,10,1, {2}
6,11,0, {0 1 2 3 4}
6,12,0, {0 1 2 3 4}
6,13,0, {0 1 2 3 4}
6,14,1, {2 3}
6,15,0, {0 1 2 3 4}
6,16,0, {0 1 2 3 4}
6,17,0, {0 1 2 3 4}
6,18,1, {2}
6,19,0, {0 1 2 3 4}
6,20,0, {0 1 2 3 4}
6,21,0, {0 1 2 3 4}
6,22,1, {4}
6,23,0, {0 1 2 3 4}
6,24,0, {0 1 2 3 4}
6,25,0, {0 1 2 3 4}
6,26,1, {1}
6,27,0, {0 1 2 3 4}
6,28,0, {0 1 2 3 4}
6,29,0, {0 1 2 3 4}
6,30,0, {0 1 2 3 4}
6,31,0, {0 1 2 3 4}
6,32,0, {0 1 2 3 4}
6,33,0, {0 1 2 3 4}
6,34,0, {0 1 2 3 4}
6,35,0, {0 1 2 3 4}
6,36,0, {0 1 2 3 4}
6,37,0, {0 1 2 3 4}
6,38,1, {1}
6,39,0, {0 1 2 3 4}
6,40,0, {0 1 2 3 4}
6,41,0, {0 1 2 3 4}
6,42,0, {0 1 2 3 4}
6,43,0, {0 1 2 3 4}
6,44,0, {0 1 2 3 4}
6,45,0, {0 1 2 3 4}
6,46,0, {0 1 2 3 4}
6,47,0, {0 1 2 3 4}
7,0,0, {0 1 2 3 4}
7,1,0, {0 1 2 3 4}
7,2,0, {0 1 2 3 4}
7,3,0, {0 1 2 3 4}
7,4,0, {0 1 2 3 4}
7,5,0, {0 1 2 3 4}
7,6,0, {0 1 2 3 4}
7,7,0, {0 1 2 3 4}
7,8,0, {0 1 2 3 4}
7,9,0, {0 1 2 3 4}
7,10,0, {0 1 2 3 4}
7,11,0, {0 1 2 3 4}
7,12,0, {0 1 2 3 4}
7,13,0, {0 1 2 3 4}
7,14,1, {3}
7,15,0, {0 1 2 3 4}
7,16,0, {0 1 2 3 4}
7,17,0, {0 1 2 3 4}
7,18,0, {0 1 2 3 4}
7,19,0, {0 1 2 3 4}
7,20,0, {0 1 2 3 4}
7,21,0, {0 1 2 3 4}
7,22,1, {0}
7,23,0, {0 1 2 3 4}
7,24,0, {0 1 2 3 4}
7,25,0, {0 1 2 3 4}
7,26,1, {2}
7,27,0, {0 1 2 3 4}
7,28,0, {0 1 2 3 4}
7,29,0, {0 1 2 3 4}
7,30,0, {0 1 2 3 4}
7,31,0, {0 1 2 3 4}
