id,variable,type,min,max,cut
1,PEHRUSLT,Continuous,0,140,2
2,A_AGE,Continuous,0,85,2
3,A_HRSPAY,Continuous,0,9900,2
4,A_USLHRS,Continuous,0,99,2
5,A_GRSWK,Continuous,0,2885,2
6,A_WKSLK,Continuous,0,99,2
7,ACTC_CRD,Continuous,0,11100,2
8,AGI,Continuous,-9999,2332074,2
9,ANN_VAL,Continuous,0,396000,2
10,CAP_VAL,Continuous,0,999999,2
11,CHSP_VAL,Continuous,0,99999,2
12,CSP_VAL,Continuous,0,99999,2
13,CTC_CRD,Continuous,0,18000,2
14,DBTN_VAL,Continuous,0,999999,2
15,DIS_VAL1,Continuous,0,100000,2
16,DIS_VAL2,Continuous,0,23672,2
17,DIV_VAL,Continuous,0,999999,2
18,DSAB_VAL,Continuous,0,100000,2
19,DST_VAL1,Continuous,0,999999,2
20,DST_VAL2,Continuous,0,75000,2
21,DST_VAL1_YNG,Continuous,0,999999,2
22,DST_VAL2_YNG,Continuous,0,43000,2
23,ED_VAL,Continuous,0,99999,2
24,EIT_CRED,Continuous,0,6557,2
25,ERN_VAL,Continuous,0,1099999,2
26,FEDTAX_AC,Continuous,-9999,788047,2
27,FEDTAX_BC,Continuous,0,788047,2
28,FED_RET,Continuous,0,16900,2
29,FICA,Continuous,0,55449,2
30,FIN_VAL,Continuous,0,500000,2
31,FRM_VAL,Continuous,0,280000,2
32,FRSE_VAL,Continuous,0,750000,2
33,HRSWK,Continuous,0,99,2
34,INT_VAL,Continuous,0,280000,2
35,MARG_TAX,Continuous,0,37,2
36,NWLKWK,Continuous,0,52,2
37,OI_VAL,Continuous,0,950000,2
38,PAW_VAL,Continuous,0,25000,2
39,PEARNVAL,Continuous,-9999,2074999,2
40,PEN_VAL1,Continuous,0,999999,2
41,PEN_VAL2,Continuous,0,360000,2
42,PNSN_VAL,Continuous,0,999999,2
43,PRSWKXPNS,Continuous,0,2065,2
44,PTOTVAL,Continuous,-9999,2085704,2
45,RETCB_VAL,Continuous,0,32000,2
46,RINT_VAL1,Continuous,0,100000,2
47,RINT_VAL2,Continuous,0,100000,2
48,RNT_VAL,Continuous,0,999999,2
49,SEMP_VAL,Continuous,0,1099999,2
50,SE_VAL,Continuous,0,550000,2
51,SPM_ACTC,Continuous,0,11100,2
52,SRVS_VAL,Continuous,0,200000,2
53,SSI_VAL,Continuous,0,50000,2
54,SS_VAL,Continuous,0,80000,2
55,STATETAX_A,Continuous,-6231,253354,2
56,STATETAX_B,Continuous,0,253354,2
57,SUR_VAL1,Continuous,0,100000,2
