id,variable,type,min,max,cut
1,PEHRUSLT,Continuous,0,140,3
2,A_AGE,Continuous,0,85,3
3,A_HRSPAY,Continuous,0,9900,3
4,A_USLHRS,Continuous,0,99,3
5,A_GRSWK,Continuous,0,2885,3
6,A_WKSLK,Continuous,0,99,3
7,ACTC_CRD,Continuous,0,11100,3
8,AGI,Continuous,-9999,2332074,3
9,ANN_VAL,Continuous,0,396000,3
10,CAP_VAL,Continuous,0,999999,3
11,CHSP_VAL,Continuous,0,99999,3
12,CSP_VAL,Continuous,0,99999,3
13,CTC_CRD,Continuous,0,18000,3
14,DBTN_VAL,Continuous,0,999999,3
15,DIS_VAL1,Continuous,0,100000,3
16,DIS_VAL2,Continuous,0,23672,3
17,DIV_VAL,Continuous,0,999999,3
18,DSAB_VAL,Continuous,0,100000,3
19,DST_VAL1,Continuous,0,999999,3
20,DST_VAL2,Continuous,0,75000,3
21,DST_VAL1_YNG,Continuous,0,999999,3
22,DST_VAL2_YNG,Continuous,0,43000,3
23,ED_VAL,Continuous,0,99999,3
24,EIT_CRED,Continuous,0,6557,3
25,ERN_VAL,Continuous,0,1099999,3
26,FEDTAX_AC,Continuous,-9999,788047,3
27,FEDTAX_BC,Continuous,0,788047,3
28,FED_RET,Continuous,0,16900,3
29,FICA,Continuous,0,55449,3
30,FIN_VAL,Continuous,0,500000,3
31,FRM_VAL,Continuous,0,280000,3
32,FRSE_VAL,Continuous,0,750000,3
33,HRSWK,Continuous,0,99,3
34,INT_VAL,Continuous,0,280000,3
35,MARG_TAX,Continuous,0,37,3
36,NWLKWK,Continuous,0,52,3
37,OI_VAL,Continuous,0,950000,3
38,PAW_VAL,Continuous,0,25000,3
39,PEARNVAL,Continuous,-9999,2074999,3
40,PEN_VAL1,Continuous,0,999999,3
41,PEN_VAL2,Continuous,0,360000,3
42,PNSN_VAL,Continuous,0,999999,3
43,PRSWKXPNS,Continuous,0,2065,3
44,PTOTVAL,Continuous,-9999,2085704,3
45,RETCB_VAL,Continuous,0,32000,3
46,RINT_VAL1,Continuous,0,100000,3
47,RINT_VAL2,Continuous,0,100000,3
48,RNT_VAL,Continuous,0,999999,3
49,SEMP_VAL,Continuous,0,1099999,3
50,SE_VAL,Continuous,0,550000,3
51,SPM_ACTC,Continuous,0,11100,3
52,SRVS_VAL,Continuous,0,200000,3
53,SSI_VAL,Continuous,0,50000,3
54,SS_VAL,Continuous,0,80000,3
55,STATETAX_A,Continuous,-6231,253354,3
56,STATETAX_B,Continuous,0,253354,3
57,SUR_VAL1,Continuous,0,100000,3
58,SUR_VAL2,Continuous,0,100000,3
59,TAX_INC,Continuous,0,2298214,3
60,TRDINT_VAL,Continuous,0,99999,3
61,UC_VAL,Continuous,0,99999,3
62,VET_VAL,Continuous,0,100000,3
63,WC_VAL,Continuous,0,99999,3
64,WKSWORK,Continuous,0,52,3
65,WSAL_VAL,Continuous,0,1999999,3
66,WS_VAL,Continuous,0,1099999,3
67,OED_TYP1,Categorical,0,2,2
68,OED_TYP2,Categorical,0,2,2
69,OED_TYP3,Categorical,0,2,2
70,PEAFEVER,Categorical,0,2,2
71,PRDTRACE,Categorical,0,24,3
72,PRCITSHP,Categorical,0,4,3
73,PEMLR,Categorical,0,7,3
74,PRDISC,Categorical,0,3,3
75,PRPTREA,Categorical,0,23,3
76,PRUNTYPE,Categorical,0,6,3
77,PRWKSTAT,Categorical,0,12,3
78,PEIO1COW,Categorical,0,8,3
79,PRCOW1,Categorical,0,6,3
80,PRERELG,Categorical,0,1,1
81,PEDISEAR,Categorical,0,2,2
82,PEDISEYE,Categorical,0,2,2
83,PEDISREM,Categorical,0,2,2
84,PEDISPHY,Categorical,0,2,2
85,PEDISDRS,Categorical,0,2,2
86,PEDISOUT,Categorical,0,2,2
87,PRDISFLG,Categorical,0,2,2
88,A_SEX,Categorical,0,1,1
89,A_HRLYWK,Categorical,0,2,2
90,A_EXPLF,Categorical,0,2,2
91,A_MJIND,Categorical,0,14,3
92,A_UNMEM,Categorical,0,2,2
93,A_MJOCC,Categorical,0,11,3
94,A_UNCOV,Categorical,0,2,2
95,A_WKSCH,Categorical,0,4,3
96,A_FAMTYP,Categorical,0,4,3
97,A_MARITL,Categorical,0,6,3
98,A_HGA,Categorical,0,16,3
99,P_STAT,Categorical,0,2,2
100,A_CIVLF,Categorical,0,1,1
101,A_UNTYPE,Categorical,0,5,3
102,A_CLSWKR,Categorical,0,8,3
103,A_EXPRRP,Categorical,0,12,3
104,A_WKSTAT,Categorical,0,7,3
105,A_LFSR,Categorical,0,5,3
106,A_PFREL,Categorical,0,5,3
107,ANN_YN,Categorical,0,2,2
108,CAP_YN,Categorical,0,2,2
109,CHCARE_YN,Categorical,0,2,2
110,CHELSEW_YN,Categorical,0,2,2
111,CHSP_YN,Categorical,0,2,2
112,CSP_YN,Categorical,0,2,2
113,DIS_SC1,Categorical,0,10,3
114,DIS_SC2,Categorical,0,4,3
115,DIS_YN,Categorical,0,2,2
116,DIV_YN,Categorical,0,2,2
117,DST_SC1,Categorical,0,7,3
118,DST_SC2,Categorical,0,6,3
119,DST_SC1_YNG,Categorical,0,6,3
120,DST_SC2_YNG,Categorical,0,5,3
121,DST_YN,Categorical,0,2,2
122,DST_YN_YNG,Categorical,0,2,2
123,EARNER,Categorical,0,2,2
124,ED_YN,Categorical,0,2,2
125,ERN_OTR,Categorical,0,2,2
126,ERN_SRCE,Categorical,0,4,3
127,ERN_YN,Categorical,0,2,2
128,FIN_YN,Categorical,0,2,2
129,FRMOTR,Categorical,0,2,2
130,FRSE_YN,Categorical,0,2,2
131,HEA,Categorical,0,4,3
132,INT_YN,Categorical,0,2,2
133,NWLOOK,Categorical,0,2,2
134,OI_OFF,Categorical,0,11,3
135,OI_YN,Categorical,0,2,2
136,PAW_TYP,Categorical,0,3,3
137,PAW_YN,Categorical,0,2,2
138,PENINCL,Categorical,0,2,2
139,PENPLAN,Categorical,0,2,2
140,PEN_SC1,Categorical,0,8,3
141,PEN_SC2,Categorical,0,7,3
142,PEN_YN,Categorical,0,2,2
143,PERLIS,Categorical,0,4,3
144,PHMEMPRS,Categorical,0,3,3
145,POV_UNIV,Categorical,0,1,1
146,RESNSS1,Categorical,0,8,3
147,RESNSS2,Categorical,0,7,3
148,RESNSSI1,Categorical,0,5,3
149,RESNSSI2,Categorical,0,3,3
150,RETCB_YN,Categorical,0,2,2
151,RINT_SC1,Categorical,0,7,3
152,RINT_SC2,Categorical,0,6,3
153,RINT_YN,Categorical,0,2,2
154,RNT_YN,Categorical,0,2,2
155,RSNNOTW,Categorical,0,6,3
156,SEMP_YN,Categorical,0,2,2
157,SEOTR,Categorical,0,2,2
158,SSI_YN,Categorical,0,2,2
159,SS_YN,Categorical,0,2,2
160,STRKUC,Categorical,0,2,2
161,SUBUC,Categorical,0,2,2
162,SUR_SC1,Categorical,0,10,3
163,SUR_SC2,Categorical,0,8,3
164,SUR_YN,Categorical,0,2,2
165,UC_YN,Categorical,0,2,2
166,VET_TYP1,Categorical,0,2,2
167,VET_TYP2,Categorical,0,2,2
168,VET_TYP3,Categorical,0,2,2
169,VET_TYP4,Categorical,0,2,2
170,VET_TYP5,Categorical,0,2,2
171,VET_YN,Categorical,0,2,2
172,WAGEOTR,Categorical,0,2,2
173,WC_TYPE,Categorical,0,4,3
174,WC_YN,Categorical,0,2,2
175,WEWKRS,Categorical,0,5,3
176,WICYN,Categorical,0,2,2
177,WORKYN,Categorical,0,2,2
178,WRK_CK,Categorical,0,2,2
179,WSAL_YN,Categorical,0,2,2
180,WTEMP,Categorical,0,2,2
181,CLWK,Categorical,0,5,3
182,FILESTAT,Categorical,0,5,3
183,LJCW,Categorical,0,7,3
184,WECLW,Categorical,0,9,3
